Location,Tournament,Country_Code
Adelaide,AAPT Championships,AUS
Chennai,TATA Open,IND
Doha,Qatar Open,QAT
Auckland,Heineken Open,NZL
Sydney,adidas International,AUS
Melbourne,Australian Open,AUS
Bogota,Colombia Open,COL
Milan,Milan Indoors,ITA
Copenhagen,Copenhagen Open,DNK
Marseille,Marseille Open,FRA
Vina del Mar,Bellsouth Open,CHL
Buenos Aires,Copa AT&T,ARG
Memphis,Kroger St. Jude,USA
Rotterdam,ABN AMRO World Tennis Tournament,NLD
Acapulco,Abierto Mexicano,MEX
Dubai,Dubai Championships,ARE
San Jose,Sybase Open,USA
Delray Beach,Citrix Tennis Championships,USA
Scottsdale,Franklin Templeton Tennis Classic,USA
Indian Wells,Indian Wells TMS,USA
Miami,Ericsson Open,USA
Casablanca,Grand Prix Hassan II,MAR
Estoril,Estoril Open,PRT
Monte Carlo,Monte Carlo Masters,MCO
Atlanta,Verizon Tennis Challenge,USA
Barcelona,Open Seat Godo,ESP
Houston,U.S. Men's Clay Court Championships,USA
Mallorca,Mallorca Open,ESP
Munich,BMW Open,DEU
Rome,Rome TMS,ITA
Hamburg,Hamburg TMS,DEU
St. Polten,Internationaler Raiffeisen Grand Prix,AUT
Paris,French Open,FRA
Halle,Gerry Weber Open,DEU
Queens Club,Stella Artois,GBR
Nottingham,Nottingham Open,GBR
's-Hertogenbosch,Heineken Trophy,NLD
London,Wimbledon,GBR
Bastad,Swedish Open,SWE
Gstaad,Gstaad Open,CHE
Newport,Hall of Fame Championships,USA
Amsterdam,Dutch Open,NLD
Stuttgart,Mercedes Cup,DEU
Umag,Croatia Open,HRV
Kitzbuhel,Generali Open,AUT
Los Angeles,Mercedes-Benz Cup,USA
Sopot,Idea Prokom Open,POL
Montreal,Montreal TMS,CAN
Cincinnati,Cincinnati TMS,USA
Indianapolis,RCA Championships,USA
Washington,Legg Mason Classic,USA
Long Island,Hamlet Cup,USA
New York,US Open,USA
Bucharest,Gelsor Open,ROU
Salvador,Brasil Open,BRA
Tashkent,President's Cup,UZB
Shanghai,Heineken Open,CHN
Hong Kong,Salem Open,HKG
Palermo,Campionati Internazionali Di Sicilia,ITA
Moscow,Kremlin Cup,RUS
Tokyo,Japan Open,JPN
Lyon,Grand Prix de Lyon,FRA
Vienna,CA Tennis Trophy,AUT
Stuttgart,Stuttgart TMS,DEU
Basel,Swiss Indoors,CHE
St. Petersburg,St. Petersburg Open,RUS
Stockholm,Stockholm Open,SWE
Paris,BNP Paribas,FRA
Sydney,Masters Cup,AUS
Indian Wells,Pacific Life Open,USA
Miami,NASDAQ-100 Open,USA
Queens Club,Queens Club,GBR
's-Hertogenbosch,Ordina Open,NLD
Amersfoort,Energis Open,NLD
Toronto,Toronto TMS,CAN
Long Island,TD Waterhouse Cup,USA
Bucharest,Open Romania,ROU
Madrid,Madrid Masters,ESP
Shanghai,Masters Cup,CHN
Doha,Qatar Exxon Mobil Open,QAT
Milan,Breil ATP,ITA
Marseille,Open FRA
San Jose,Siebel Open,USA
Dubai ,Dubai Championships,ARE
Delray Beach,International Championships,USA
Estoril ,Estoril Open,PRT
Valencia,CAM Open Comunidad Valenciana,ESP
Rome,Telecom Italia Masters Roma,ITA
Gstaad,Allianz Suisse Open,CHE
Amersfoort,Priority Telecom Dutch Open,NLD
Cincinnati,Western & Southern Financial Group Masters,USA
Costa Do Sauipe,Brasil Open,BRA
Bangkok,Thailand Open,THA
Metz,Open de Moselle,FRA
Vienna ,CA Tennis Trophy,AUT
Houston,Masters Cup,USA
Milan,Indesit ATP Milano Indoor,ITA
Buenos Aires,ATP Buenos Aires ARG
Beijing,China Open,CHN
Adelaide,Next Generation Hardcourts,AUS
Sydney,Medibank International,AUS
Milan,Internazionali di Lombardia,ITA
Buenos Aires,ATP Buenos Aires ARG
San Jose,SAP Open,USA
Memphis,Regions Morgan Keegan Championships,USA
Dubai ,Dubai Duty Free Men's Open,ARE
Scottsdale,Channel Open,USA
Valencia,Open de Tenis Comunidad Valenciana,ESP
Montreal,Rogers Cup,CAN
New Haven,Pilot Pen Tennis,USA
Ho Chi Min City,Vietnam Open,VNM
Vienna,BA-CA Tennis Trophy,AUT
Basel,Davidoff Swiss Indoors,CHE
Adelaide,Next Generation Adelaide International,AUS
Chennai,Chennai Open,IND
Sydney,Sydney International,AUS
Vina del Mar,Movistar Open,CHL
Zagreb,PBZ Zagreb Indoors,HRV
Buenos Aires,Copa Telmex,ARG
Dubai ,Dubai Tennis Championships,ARE
Las Vegas,Channel Open,USA
Rome,Campionati Internazional d'Italia,ITA
Portschach,Hypo Group Tennis International,AUT
Nottingham,Red Letter Days Open,GBR
Bastad,Synsam Swedish Open,SWE
Amersfoort,Dutch Open,NLD
Los Angeles,Countrywide Classic,USA
Toronto,Rogers Masters,CAN
